date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,TXF_net,MXF_net,top5_net,top10_net,opt_call_net,opt_put_net,opt_net_total
2024-06-13,5602.419921875,22312.0390625,105.19999694824219,32.20100021362305,4.23799991607666,11.9399995803833,17667.560546875,42.989295959472656,-2966.0,-1905.0,999998.0,483.0,-397477.0,-416194.0,18717.0
2024-06-14,5598.31005859375,22504.720703125,105.55000305175781,32.29899978637695,4.2129998207092285,12.65999984741211,17688.880859375,43.24154281616211,463.0,336.0,999998.0,416.0,-310244.0,-308402.0,-1842.0
2024-06-17,5688.10009765625,22496.529296875,105.31999969482422,32.3489990234375,4.2789998054504395,12.75,17857.01953125,43.24154281616211,-337.0,-5526.0,999998.0,497.0,-287846.0,-285369.0,-2477.0
2024-06-18,5765.1201171875,22757.4296875,105.26000213623047,32.30099868774414,4.2170000076293945,12.300000190734863,17862.23046875,43.96223449707031,254.0,3318.0,999998.0,435.0,-319058.0,-297622.0,-21436.0
2024-06-19,,23209.5390625,,32.34749984741211,,,,45.15137481689453,4192.0,2668.0,999998.0,211.0,-258440.0,-241003.0,-17437.0
2024-06-20,5610.009765625,23406.099609375,105.58999633789062,32.38079833984375,4.254000186920166,13.279999732971191,17721.58984375,45.58379364013672,-4932.0,-8530.0,999998.0,276.0,-263827.0,-265721.0,1894.0
2024-06-21,5538.5400390625,23253.390625,105.80000305175781,32.340999603271484,4.256999969482422,13.199999809265137,17689.359375,45.30752944946289,-1956.0,-7673.0,999998.0,274.0,-438990.0,-427358.0,-11632.0
2024-06-24,5371.52001953125,22813.69921875,105.47000122070312,32.362998962402344,4.248000144958496,13.329999923706055,17496.8203125,44.20246124267578,395.0,-11857.0,999998.0,274.0,-862258.0,-880066.0,17808.0
2024-06-25,5467.66015625,22875.970703125,105.61000061035156,32.32149887084961,4.23799991607666,12.84000015258789,17717.650390625,44.17844009399414,-1966.0,-1606.0,999998.0,286.0,-649398.0,-659700.0,10302.0
2024-06-26,5452.31982421875,22986.689453125,106.05000305175781,32.4734992980957,4.315999984741211,12.550000190734863,17805.16015625,44.52677536010742,-1413.0,3705.0,999998.0,255.0,-403112.0,-424409.0,21297.0
2024-06-27,5421.08984375,22905.98046875,105.91000366210938,32.582298278808594,4.288000106811523,12.239999771118164,17858.6796875,44.514766693115234,1271.0,-945.0,999998.0,263.0,-511548.0,-517706.0,6158.0
2024-06-28,5472.259765625,23032.25,105.87000274658203,32.52199935913086,4.3429999351501465,12.4399995803833,17732.599609375,44.79103088378906,-2107.0,-512.0,999998.0,238.0,-449531.0,-448405.0,-1126.0
2024-07-01,5477.14990234375,23058.5703125,105.9000015258789,32.50400161743164,4.479000091552734,12.220000267028809,17879.30078125,44.82706832885742,594.0,242.0,999998.0,345.0,-373206.0,-372825.0,-381.0
2024-07-02,5544.990234375,22879.369140625,105.72000122070312,32.52170181274414,4.435999870300293,12.029999732971191,18028.759765625,44.52677536010742,990.0,-324.0,999998.0,339.0,-621230.0,-628873.0,7643.0
