date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,foreign_net_bil,invest_net_bil,dealer_net_bil,margin_balance,short_balance,TXF_net,MXF_net,top5_net,top10_net,opt_call_net,opt_put_net,opt_net
2023-06-09,3524.969970703125,16886.400390625,103.55999755859375,30.64579963684082,3.744999885559082,13.829999923706055,13259.1396484375,29.570035934448242,1037.75246,0.0,482.27514,7360262.0,327806.0,-1683.0,6544.0,999998.0,308.0,-134687.0,-136557.0,1870.0
2023-06-12,3641.659912109375,16955.369140625,103.62999725341797,30.660999298095703,3.765000104904175,15.010000228881836,13461.919921875,29.847686767578125,-352.29848,0.0,614.15,7389685.0,327094.0,-129.0,-1436.0,999998.0,305.0,-153681.0,-171598.0,17917.0
2023-06-13,3683.659912109375,17216.599609375,103.33999633789062,30.711299896240234,3.8389999866485596,14.609999656677246,13573.3203125,30.437700271606445,2831.31881,0.0,575.76882,7364206.0,317253.0,-1113.0,3675.0,999998.0,209.0,-149924.0,-144224.0,-5700.0
2023-06-14,3739.75,17238.140625,103.01000213623047,30.577999114990234,3.7960000038146973,13.880000114440918,13626.48046875,30.426128387451172,1317.93235,0.0,467.55838,7389375.0,347568.0,-4282.0,-6754.0,999998.0,172.0,-181636.0,-183009.0,1373.0
2023-06-15,3708.06005859375,17334.98046875,102.12000274658203,30.731300354003906,3.7279999256134033,14.5,13782.8203125,30.518678665161133,795.35421,0.0,576.59,7436336.0,331233.0,3027.0,5488.0,999998.0,177.0,-129524.0,-140959.0,11435.0
2023-06-16,3673.139892578125,17288.91015625,102.30000305175781,30.65329933166504,3.7690000534057617,13.539999961853027,13689.5703125,30.437700271606445,529.55902,0.0,2563.11894,7459826.0,340573.0,-2526.0,-4519.0,999998.0,228.0,-210488.0,-197713.0,-12775.0
2023-06-19,,17274.560546875,,30.70800018310547,,,,30.368288040161133,-958.11851,0.0,2594.55455,7393025.0,335380.0,1217.0,2167.0,999998.0,228.0,-150875.0,-156316.0,5441.0
2023-06-20,3647.56005859375,17184.91015625,102.54000091552734,30.791799545288086,3.7290000915527344,13.880000114440918,13667.2900390625,30.206323623657227,371.63875,0.0,2395.93364,7410083.0,322835.0,-1909.0,-2664.0,999998.0,228.0,-176703.0,-166348.0,-10355.0
2023-06-21,3549.72998046875,17202.400390625,102.06999969482422,30.95330047607422,3.7230000495910645,13.199999809265137,13502.2001953125,30.206323623657227,185.35297,0.0,1543.78,7406872.0,319827.0,6.0,-1666.0,999998.0,33.0,-147545.0,-147696.0,151.0
2023-06-22,3569.8701171875,,102.38999938964844,30.92300033569336,3.7990000247955322,12.90999984741211,13630.6103515625,,,,,,,,,,,,,
2023-06-23,3506.7099609375,,102.9000015258789,30.993799209594727,3.739000082015991,13.4399995803833,13492.51953125,,,,,,,,,,,,,
