date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,top5_net,top10_net,ETF0050,foreign_net_bil,invest_net_bil,dealer_net_bil,margin_balance,short_balance,TXF_net,MXF_net,opt_call_net,opt_put_net,opt_net,MA5,MA20,MA60,RSI14,MACD,MACD_signal,MACD_hist,margin_chg5,target_5d_return,target_signal,target_4w_return
2017-11-14,1305.0,10687.1796875,93.83000183105467,30.14999961853028,2.38100004196167,11.59000015258789,6737.8701171875,999998.0,-144.0,15.977015495300291,8.01874,-42.2175,149.9645,,,,,,,,10733.205859375,10756.0875,10607.243326822916,42.02088690683987,31.56478594096734,51.88408575104684,-20.3192998100795,,0.0071299576228063,0,-0.03802761456600734
2017-11-15,1293.199951171875,10630.650390625,93.80999755859376,30.174999237060547,2.3350000381469727,13.130000114440918,6706.2099609375,999998.0,-260.0,15.815630912780762,-1877.19131,69.0766,-53.01645,,,,,,,,10695.537890625,10751.606005859376,10610.974007161458,38.11393709109883,20.207009661146003,45.54867053306668,-25.341660871920674,,0.0222088410976653,0,-0.02761113179048269
2017-11-16,1313.1099853515625,10625.0400390625,93.93000030517578,30.174999237060547,2.361000061035156,11.760000228881836,6793.2900390625,999998.0,-387.0,15.872588157653809,-460.33537,24.39927,730.15116,,,,,,,,10671.8919921875,10744.843505859375,10613.242008463541,39.94153358664106,10.630638267000904,38.56506407985353,-27.934425812852623,,0.0191386907231392,0,-0.022129086739869908
2017-11-17,1306.9300537109375,10701.6396484375,93.66000366210938,30.12800025939941,2.3540000915527344,11.43000030517578,6782.7900390625,999998.0,-350.0,16.014984130859375,709.78189,31.88998,326.51315,,,,,,,,10665.6859375,10743.481494140626,10616.344173177084,43.81861105646272,9.117146460852382,32.6754805560533,-23.55833409520092,,0.0094844687001576,0,-0.03852967153792364
2017-11-20,1322.81005859375,10664.5498046875,94.08000183105467,30.07099914550781,2.371999979019165,10.649999618530272,6790.7099609375,999998.0,-415.0,15.948537826538086,1217.22218,-78.04367,505.09664,,,,,,,,10661.8119140625,10739.948486328125,10618.653662109375,35.53953596105184,4.868729202918985,27.114130285426437,-22.245401082507453,,0.0017855974680525,0,-0.033333524683653026
2017-11-21,1337.9200439453125,10779.240234375,93.9499969482422,30.077999114990234,2.36299991607666,9.729999542236328,6862.47998046875,999998.0,-471.0,16.090930938720703,3487.36596,-63.72675,897.47115,,,,,,,,10680.2240234375,10741.721484375,10623.364827473959,47.53021530908994,10.63380717587279,23.81806566351571,-13.184258487642921,,-0.0135693069529918,0,-0.0466074984216982
2017-11-22,1329.0999755859375,10822.58984375,93.22000122070312,29.99799919128418,2.322000026702881,9.880000114440918,6867.35986328125,999998.0,-485.0,16.16687774658203,2455.32436,197.82457,420.13777,,,,,,,,10718.6119140625,10745.3224609375,10627.584651692709,52.96587266243546,18.487511666924547,22.75195486419748,-4.264443197272932,,-0.0170288812071589,0,-0.04815032857092294
2017-11-23,1329.0999755859375,10854.5703125,93.22000122070312,29.99399948120117,2.322000026702881,9.880000114440918,6867.35986328125,999998.0,-454.0,16.176368713378906,1064.83079,-64.9642,-128.64206,,,,,,,,10764.51796875,10751.31298828125,10632.064485677083,54.52672056793533,26.981163556871252,23.597796602732235,3.3833669541390172,,-0.0346243802083603,0,-0.04929569078263185
2017-11-24,1341.68994140625,10854.08984375,92.76000213623048,30.003999710083008,2.3399999141693115,9.670000076293944,6889.16015625,999998.0,-466.0,16.16687774658203,112.15375,187.328,-76.50618,,,,,,,,10795.0080078125,10758.561962890624,10636.38564453125,55.85179175300421,33.289928487092766,25.536222979604343,7.753705507488423,,-0.0299471455032385,0,-0.04521419048855013
2017-11-27,1324.1500244140625,10750.9296875,92.9000015258789,29.97699928283692,2.328000068664551,9.869999885559082,6878.52001953125,999998.0,-466.0,15.977015495300291,-149.88093,-49.61813,-549.52266,,,,,,,,10812.283984375,10758.26494140625,10639.403304036457,42.89459388144722,29.62402041547648,26.35378246677877,3.2702379486977087,,-0.0148546106201742,0,-0.032085734503702557
2017-11-28,1323.0799560546875,10707.0703125,93.26000213623048,29.98600006103516,2.338000059127808,10.029999732971191,6912.35986328125,999998.0,-480.0,15.872588157653809,-539.26138,-73.37071,56.51561,,,,,,,,10797.85,10753.928466796875,10640.890478515625,41.41296529401186,22.915520981412556,25.666130169705532,-2.7506091882929766,,-0.0161483547895093,0,-0.035287045512648496
